name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Lavender Haze,Midnights (3am Edition),,1.0,4g2c7NoTWAOSYDy44l9nub,spotify:track:4g2c7NoTWAOSYDy44l9nub,0.204,0.735,0.444,0.0012,0.17,-10.519,0.0684,97.038,0.0984,87.0,202395.0
Maroon,Midnights (3am Edition),10/22/2022,2.0,199E1RRrVmVTQqBXih5qRC,spotify:track:199E1RRrVmVTQqBXih5qRC,0.0593,0.658,,0.0,0.0976,-8.3,0.0379,108.034,0.0382,87.0,218270.0
,,10/22/2022,,02Zkkf2zMkwRGQjZ7T4p8f,,,0.638,0.634,1.23e-06,0.152,-6.582,0.0457,96.953,0.519,88.0,200690.0
Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),10/22/2022,4.0,6ADDIJxxqzM9LMpm78yzQG,spotify:track:6ADDIJxxqzM9LMpm78yzQG,0.735,0.659,0.323,0.00321,0.116,-13.425,,110.007,0.154,86.0,256124.0
"You're On Your Own, Kid",Midnights (3am Edition),10/22/2022,,7gVWKBcfIW93YxNBi3ApIE,spotify:track:7gVWKBcfIW93YxNBi3ApIE,0.416,0.694,0.38,,,-10.307,0.0614,120.044,0.376,87.0,194206.0
Midnight Rain,Midnights (3am Edition),10/22/2022,6.0,6Nl7KyvjkFncGsjB49SxLl,,0.71,0.636,0.377,6.51e-05,,-11.721,0.0708,139.966,0.23,,174782.0
,Midnights (3am Edition),10/22/2022,7.0,6C7OF1Jal7YkyjzyUG8vkK,spotify:track:6C7OF1Jal7YkyjzyUG8vkK,0.226,0.751,0.502,0.0,0.297,-8.777,0.162,108.989,0.112,86.0,210556.0
Vigilante Shit,Midnights (3am Edition),,8.0,5yeuXkukVGuix3vmLu2BPJ,spotify:track:5yeuXkukVGuix3vmLu2BPJ,0.16,0.87,0.279,1.74e-05,,-11.134,,79.996,0.16,86.0,164801.0
Bejeweled,Midnights (3am Edition),,9.0,0jvo9CjnbR0lYUDTSNTMiu,spotify:track:0jvo9CjnbR0lYUDTSNTMiu,,0.7,0.55,0.000102,0.091,-9.13,0.0653,164.003,0.412,87.0,
,Midnights (3am Edition),10/22/2022,10.0,43q586vP8gGkYypKoSddhl,spotify:track:43q586vP8gGkYypKoSddhl,0.791,0.487,,0.348,0.124,-15.434,0.0487,110.039,0.141,85.0,247962.0
Karma,Midnights (3am Edition),10/22/2022,11.0,5oqDgw5VGBln5dSIOPWyBq,spotify:track:5oqDgw5VGBln5dSIOPWyBq,0.074,0.649,0.622,0.0,0.594,-7.054,0.0582,90.024,0.106,86.0,204852.0
Sweet Nothing,Midnights (3am Edition),10/22/2022,12.0,3zmwONxswBAzGwExPugSLN,,0.967,0.334,0.161,4.71e-05,0.115,-14.875,0.0506,176.747,,,
,Midnights (3am Edition),,13.0,56hioFjQ0DXrdn04hZcFgG,spotify:track:56hioFjQ0DXrdn04hZcFgG,0.571,0.661,0.352,0.00147,0.0884,-14.077,0.117,,0.13,85.0,
The Great War,Midnights (3am Edition),10/22/2022,14.0,3UMrglJeju5yWyYIW6o99b,spotify:track:3UMrglJeju5yWyYIW6o99b,0.219,0.573,0.741,,0.0842,-8.987,0.0353,96.016,0.554,87.0,240355.0
Bigger Than The Whole Sky,,10/22/2022,15.0,0BiqmkasE5FdrChwKfVp8X,spotify:track:0BiqmkasE5FdrChwKfVp8X,,0.422,0.235,,0.115,-12.379,0.0568,165.71,0.068,86.0,218502.0
Paris,Midnights (3am Edition),10/22/2022,16.0,7712gjoih4QoDbXpljEk21,spotify:track:7712gjoih4QoDbXpljEk21,0.112,0.7,0.509,3.27e-05,0.137,-10.547,,110.947,0.345,86.0,196258.0
High Infidelity,Midnights (3am Edition),,17.0,5kiZGSxgqPdv6rbqL9THdd,spotify:track:5kiZGSxgqPdv6rbqL9THdd,0.723,0.646,0.529,,0.0885,-10.179,,87.862,0.755,85.0,231475.0
Glitch,,10/22/2022,18.0,6wAFvJPpTZVirBKGZ4EnMW,spotify:track:6wAFvJPpTZVirBKGZ4EnMW,0.361,0.675,0.466,0.0,0.11,-9.738,0.201,140.864,0.347,84.0,148781.0
"Would've, Could've, Should've",Midnights (3am Edition),10/22/2022,,,spotify:track:0aV5uARAknQgYhBaK944FP,0.43,0.483,0.84,0.000575,,,0.119,157.979,,87.0,
Dear Reader,Midnights (3am Edition),10/22/2022,20.0,3QF5RsWzK1lCvf2o2cY65P,spotify:track:3QF5RsWzK1lCvf2o2cY65P,0.481,0.562,0.388,0.00145,0.117,-12.088,0.0705,107.747,,,
Lavender Haze,Midnights (3am Edition),10/21/2022,1.0,2KkIiEt1WIHOYItqkD30kR,spotify:track:2KkIiEt1WIHOYItqkD30kR,0.253,0.735,,0.00167,0.184,-10.501,0.0804,96.962,0.106,65.0,
Maroon,Midnights (3am Edition),10/21/2022,2.0,09T4f2HgIJY1Ia6FRjzTk3,spotify:track:09T4f2HgIJY1Ia6FRjzTk3,0.0616,0.65,0.404,0.0,0.104,-8.403,0.0356,108.03,0.0379,65.0,218270.0
Anti-Hero,Midnights (3am Edition),10/21/2022,3.0,,spotify:track:5ScZrVCMGSo7HbzTfJJaht,0.131,0.638,0.624,3.32e-06,0.15,-6.577,0.0441,96.889,0.474,66.0,200690.0
Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),10/21/2022,4.0,,,0.686,0.65,0.325,,0.137,-13.483,0.0399,109.947,,,256124.0
"You're On Your Own, Kid",Midnights (3am Edition),10/21/2022,5.0,5phOffUF55tovtQaz1alMo,spotify:track:5phOffUF55tovtQaz1alMo,,0.693,0.387,9.11e-06,0.124,-10.304,,,0.364,65.0,194206.0
Midnight Rain,Midnights (3am Edition),10/21/2022,6.0,5UWacUKRimvuHRIH0XgwAt,spotify:track:5UWacUKRimvuHRIH0XgwAt,0.712,0.629,0.385,5.19e-05,,-11.722,0.0749,140.002,0.228,65.0,174782.0
Question...?,Midnights (3am Edition),10/21/2022,7.0,4sC589n5FFW9jHOSUxnkd6,spotify:track:4sC589n5FFW9jHOSUxnkd6,0.216,0.722,,0.0,0.226,,0.204,108.94,,64.0,210556.0
Vigilante Shit,Midnights (3am Edition),10/21/2022,8.0,,spotify:track:5dvjl2nhzcLM6NXzkpKDiL,0.163,0.875,0.286,4.23e-05,,-10.943,0.361,79.97,0.155,64.0,164801.0
Bejeweled,Midnights (3am Edition),10/21/2022,9.0,5Xv1T61pCSa1tFhcj3XVXe,,0.0635,0.693,0.543,5.12e-05,0.0839,-9.153,0.0677,164.027,0.4,64.0,194165.0
Labyrinth,Midnights (3am Edition),10/21/2022,10.0,4vqFHZjXf66USVlJ16utFN,spotify:track:4vqFHZjXf66USVlJ16utFN,,0.475,0.309,0.465,0.123,,,109.967,0.143,62.0,247962.0
,Midnights (3am Edition),10/21/2022,11.0,5GjkD2Xujig8TPty57wfsS,spotify:track:5GjkD2Xujig8TPty57wfsS,0.0727,0.654,0.638,0.0,,,0.075,90.007,0.0941,65.0,204852.0
Sweet Nothing,Midnights (3am Edition),10/21/2022,12.0,,spotify:track:3G7anCyYYjbXGtrAqdwUka,0.967,0.435,0.163,5.79e-05,0.115,-14.889,0.0509,117.747,,62.0,188496.0
Mastermind,Midnights (3am Edition),10/21/2022,13.0,6pXGAXMfoi7q7sek9uCFSL,spotify:track:6pXGAXMfoi7q7sek9uCFSL,,0.656,,0.00111,0.0871,-14.088,,125.984,0.143,63.0,191039.0
The Great War,Midnights (3am Edition),10/21/2022,14.0,5BYl3SodS3rGmafWXRWmB7,spotify:track:5BYl3SodS3rGmafWXRWmB7,0.213,0.57,0.739,,0.0937,-9.013,0.0358,96.025,0.593,67.0,240355.0
Bigger Than The Whole Sky,Midnights (3am Edition),10/21/2022,15.0,,spotify:track:3jzbpOzoYa22FvzBkNkLvC,0.829,0.395,0.226,0.00322,0.115,-12.511,,165.523,,67.0,218502.0
Paris,Midnights (3am Edition),10/21/2022,16.0,6J834IBcZJMH38ksrgAqwF,spotify:track:6J834IBcZJMH38ksrgAqwF,0.103,0.696,0.485,6.69e-05,0.136,-10.573,0.123,110.962,0.339,68.0,196258.0
High Infidelity,Midnights (3am Edition),10/21/2022,17.0,4356PL6jkERzJouVfQQkZo,spotify:track:4356PL6jkERzJouVfQQkZo,0.712,0.652,0.536,0.0,0.0854,-10.211,0.0881,87.963,,66.0,231475.0
Glitch,Midnights (3am Edition),10/21/2022,18.0,6RJBrG3VHz2hPITjv88chh,spotify:track:6RJBrG3VHz2hPITjv88chh,0.313,0.571,0.477,0.0,0.11,-9.737,0.246,140.734,0.331,65.0,
"Would've, Could've, Should've",Midnights (3am Edition),10/21/2022,19.0,3pUa0ZxdSeaJXm0EIydD3F,spotify:track:3pUa0ZxdSeaJXm0EIydD3F,0.424,0.488,0.832,0.00288,,-6.508,0.114,,0.554,73.0,260361.0
Dear Reader,Midnights (3am Edition),,20.0,7lFNXsbcbds699xCWO3pSe,spotify:track:7lFNXsbcbds699xCWO3pSe,0.487,0.681,0.396,0.00138,,-12.109,0.0487,107.954,0.157,65.0,225194.0
Lavender Haze,Midnights,10/21/2022,1.0,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.258,0.733,0.436,0.000573,,,0.08,96.985,0.0976,91.0,202395.0
Maroon,Midnights,10/21/2022,2.0,3eX0NZfLtGzoLUxPNvRfqm,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0573,0.637,0.398,1.03e-06,0.101,-8.294,0.0564,108.075,0.0374,89.0,218270.0
Anti-Hero,Midnights,10/21/2022,3.0,,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.8e-06,0.142,-6.571,,,0.533,97.0,200690.0
Snow On The Beach (feat. Lana Del Rey),Midnights,10/21/2022,4.0,1wtOxkiel43cVs0Yux5Q4h,spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.69,0.663,,0.000993,0.117,-13.481,0.0375,,,90.0,256124.0
"You're On Your Own, Kid",Midnights,10/21/2022,5.0,4D7BCuvgdJlYvlX5WlN54t,spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.401,0.696,0.396,5.2e-06,0.125,-10.289,0.0656,120.041,0.38,,194206.0
Midnight Rain,Midnights,10/21/2022,6.0,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.69,0.643,0.363,,0.115,-11.738,0.0767,139.865,0.23,91.0,174782.0
Question...?,Midnights,10/21/2022,7.0,0heeNYlwOGuUSe7TgUD27B,spotify:track:0heeNYlwOGuUSe7TgUD27B,0.2,0.751,0.502,,0.296,-8.763,0.167,108.943,0.106,87.0,210556.0
Vigilante Shit,Midnights,10/21/2022,8.0,1xwAWUI6Dj0WGC3KiUPN0O,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.173,,0.277,5.25e-05,0.121,-11.096,0.39,79.846,0.163,,
Bejeweled,,10/21/2022,9.0,3qoftcUZaUOncvIYjFSPdE,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0618,0.696,,5.58e-05,0.0887,-9.19,0.0693,163.999,0.433,88.0,194165.0
Labyrinth,Midnights,10/21/2022,10.0,,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0.785,0.406,,0.488,0.122,-15.48,0.0517,110.014,0.122,85.0,
Karma,Midnights,10/21/2022,11.0,7KokYm8cMIXCsGVmUvKtqf,,0.0734,0.642,0.62,0.0,0.483,-7.091,0.0666,,0.0969,88.0,204852.0
,,10/21/2022,12.0,0wavGRldH0AWyu2zvTz8zb,spotify:track:0wavGRldH0AWyu2zvTz8zb,,0.337,0.156,7.72e-05,0.115,-14.919,0.0518,176.655,0.39,84.0,188496.0
Mastermind,Midnights,10/21/2022,13.0,7FmYn9e7KHMXcxqGSj9LjH,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,85.0,
Lavender Haze,Midnights,10/21/2022,1.0,,spotify:track:5E36pd9opG8oT1GkKYv7qz,0.253,0.743,0.463,0.000634,0.164,-10.485,0.0782,96.999,,65.0,202395.0
,Midnights,10/21/2022,2.0,7DAB0lFAvDT0Nhw5BjBqt1,spotify:track:7DAB0lFAvDT0Nhw5BjBqt1,,0.658,0.401,1.2e-06,0.0927,-8.377,,108.049,0.0384,64.0,218270.0
Anti-Hero,Midnights,10/21/2022,,1BJWay8HsY5Tz8L28itkCk,spotify:track:1BJWay8HsY5Tz8L28itkCk,0.12,0.639,0.628,1.07e-06,0.191,-6.606,,96.982,0.506,67.0,200690.0
Snow On The Beach (feat. Lana Del Rey),Midnights,10/21/2022,,,spotify:track:3zRe2Yz0GZgy3Cr5W8SRLo,0.664,0.651,,0.00185,,-13.459,0.0393,,0.184,65.0,256124.0
"You're On Your Own, Kid",Midnights,10/21/2022,5.0,6NNM5YsBgh6jKmLaWCDDec,spotify:track:6NNM5YsBgh6jKmLaWCDDec,0.408,0.694,0.385,1.73e-05,0.126,-10.329,,120.02,0.401,64.0,194206.0
Midnight Rain,Midnights,10/21/2022,6.0,1DAHLigfUqSLrU3RLG1EKR,spotify:track:1DAHLigfUqSLrU3RLG1EKR,0.723,0.638,0.369,5.26e-05,0.115,,0.0737,139.932,0.183,67.0,174782.0
Question...?,Midnights,10/21/2022,7.0,41TKEKuYDOQ6eNI56mOLqy,,0.205,,0.495,,0.274,-8.729,0.195,108.967,0.111,62.0,210556.0
Vigilante Shit,Midnights,10/21/2022,8.0,7EkAf94yIyU5k686SDYNHP,spotify:track:7EkAf94yIyU5k686SDYNHP,0.175,0.87,0.284,4.06e-05,0.127,-10.984,,79.975,0.176,,164801.0
Bejeweled,Midnights,10/21/2022,9.0,5eZin4PL4EZpemG7Vi6Qvq,spotify:track:5eZin4PL4EZpemG7Vi6Qvq,0.0641,0.696,,7.88e-05,0.0888,-9.137,0.0664,164.0,0.39,63.0,194165.0
Labyrinth,,10/21/2022,10.0,2pRNMwZ4lmmXBQRjytMyi2,spotify:track:2pRNMwZ4lmmXBQRjytMyi2,0.802,0.48,0.31,0.218,0.123,-15.418,0.0439,109.982,0.146,61.0,247962.0
Karma,Midnights,10/21/2022,11.0,6IW6cNEGZEtgJtw9ThbrG8,spotify:track:6IW6cNEGZEtgJtw9ThbrG8,0.0655,0.648,0.639,0.0,0.499,-7.052,0.065,,0.102,62.0,204852.0
Sweet Nothing,Midnights,10/21/2022,,5YhIwCzTBYp9TfSYFRyFL6,spotify:track:5YhIwCzTBYp9TfSYFRyFL6,0.966,0.336,0.159,9.79e-05,0.115,-14.899,0.0463,176.768,0.392,61.0,188496.0
Mastermind,Midnights,10/21/2022,,7zcJSflhqcSGICHUjgncnj,spotify:track:7zcJSflhqcSGICHUjgncnj,0.549,0.661,0.354,0.00121,0.0912,-14.088,0.142,125.974,0.123,63.0,191039.0
State Of Grace (Taylor's Version),Red (Taylor's Version),11/12/2021,1.0,,spotify:track:6lzc0Al0zfZOIFsFvBS1ki,0.000328,0.594,0.713,0.0,,-5.314,0.0503,129.958,0.328,69.0,295413.0
Red (Taylor's Version),Red (Taylor's Version),11/12/2021,2.0,4OAuvHryIVv4kMDNSLuPt6,spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,,76.0,223093.0
Treacherous (Taylor's Version),Red (Taylor's Version),11/12/2021,3.0,,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,,0.299,69.0,242720.0
